zone,pixel_id,universe,channel,cat_x,cat_y,cat_z,x_norm,y_norm,z_norm
main-arch,0,39,1,-12.3100,0.2097,2.9793,0.0000,0.0082,0.6943
main-arch,1,39,4,-12.3100,0.3068,2.9792,0.0000,0.0135,0.6943
main-arch,2,39,7,-12.3100,0.4040,2.9792,0.0000,0.0187,0.6943
main-arch,3,39,10,-12.3100,0.5012,2.9792,0.0000,0.0240,0.6943
main-arch,4,39,13,-12.3100,0.5983,2.9792,0.0000,0.0293,0.6943
main-arch,5,39,16,-12.3100,0.6955,2.9792,0.0000,0.0345,0.6943
main-arch,6,39,19,-12.3100,0.7926,2.9792,0.0000,0.0398,0.6943
main-arch,7,39,22,-12.3100,0.8898,2.9792,0.0000,0.0451,0.6943
main-arch,8,39,25,-12.3100,0.9870,2.9792,0.0000,0.0503,0.6943
main-arch,9,39,28,-12.3100,1.0841,2.9791,0.0000,0.0556,0.6943
main-arch,10,39,31,-12.3100,1.1813,2.9791,0.0000,0.0609,0.6943
main-arch,11,39,34,-12.3100,1.2785,2.9791,0.0000,0.0661,0.6943
main-arch,12,39,37,-12.3100,1.3756,2.9791,0.0000,0.0714,0.6943
main-arch,13,39,40,-12.3100,1.4728,2.9791,0.0000,0.0767,0.6943
main-arch,14,39,43,-12.3100,1.5699,2.9791,0.0000,0.0819,0.6943
main-arch,15,39,46,-12.3100,1.6671,2.9791,0.0000,0.0872,0.6943
main-arch,16,39,49,-12.3100,1.7643,2.9790,0.0000,0.0925,0.6943
main-arch,17,39,52,-12.3100,1.8614,2.9790,0.0000,0.0977,0.6943
main-arch,18,39,55,-12.3100,1.9586,2.9790,0.0000,0.1030,0.6943
main-arch,19,39,58,-12.3100,2.0558,2.9790,0.0000,0.1083,0.6943
main-arch,20,39,61,-12.3100,2.1529,2.9790,0.0000,0.1135,0.6943
main-arch,21,39,64,-12.3100,2.2501,2.9790,0.0000,0.1188,0.6943
main-arch,22,39,67,-12.3100,2.3472,2.9790,0.0000,0.1241,0.6943
main-arch,23,39,70,-12.3100,2.4444,2.9789,0.0000,0.1293,0.6943
main-arch,24,39,73,-12.3100,2.5416,2.9789,0.0000,0.1346,0.6943
main-arch,25,39,76,-12.3100,2.6387,2.9789,0.0000,0.1399,0.6943
main-arch,26,39,79,-12.3100,2.7359,2.9789,0.0000,0.1451,0.6943
main-arch,27,39,82,-12.3100,2.8330,2.9789,0.0000,0.1504,0.6943
main-arch,28,39,85,-12.3100,2.9302,2.9789,0.0000,0.1557,0.6943
main-arch,29,39,88,-12.3100,3.0274,2.9789,0.0000,0.1609,0.6943
main-arch,30,39,91,-12.3100,3.1245,2.9788,0.0000,0.1662,0.6943
main-arch,31,39,94,-12.3100,3.2217,2.9788,0.0000,0.1715,0.6943
main-arch,32,39,97,-12.3100,3.3189,2.9788,0.0000,0.1767,0.6943
main-arch,33,39,100,-12.3100,3.4160,2.9788,0.0000,0.1820,0.6943
main-arch,34,39,103,-12.3100,3.5132,2.9788,0.0000,0.1873,0.6943
main-arch,35,39,106,-12.3100,3.6103,2.9788,0.0000,0.1925,0.6943
main-arch,36,39,109,-12.3100,3.7075,2.9788,0.0000,0.1978,0.6943
main-arch,37,39,112,-12.3100,3.8047,2.9787,0.0000,0.2031,0.6943
main-arch,38,39,115,-12.3100,3.9018,2.9787,0.0000,0.2083,0.6943
main-arch,39,39,118,-12.3100,3.9990,2.9787,0.0000,0.2136,0.6943
main-arch,40,39,121,-12.3100,4.0962,2.9787,0.0000,0.2189,0.6943
main-arch,41,39,124,-12.3100,4.1933,2.9787,0.0000,0.2241,0.6943
main-arch,42,39,127,-12.3100,4.2905,2.9787,0.0000,0.2294,0.6943
main-arch,43,39,130,-12.3100,4.3876,2.9787,0.0000,0.2347,0.6943
main-arch,44,39,133,-12.3100,4.4848,2.9787,0.0000,0.2399,0.6943
main-arch,45,39,136,-12.3100,4.5820,2.9786,0.0000,0.2452,0.6943
main-arch,46,39,139,-12.3100,4.6791,2.9786,0.0000,0.2504,0.6943
main-arch,47,39,142,-12.3100,4.7763,2.9786,0.0000,0.2557,0.6943
main-arch,48,39,145,-12.3100,4.8734,2.9786,0.0000,0.2610,0.6943
