universe,channel,petal,angle_deg,cell,x_mm,y_mm,r_mm,t_mm,grid_col,grid_row,uv_x,uv_y
1,1,0,0.0,1b,-1.4,505.4,505.4,-1.4,1,6,0.49971,0.60363
1,4,0,0.0,2a,-65.1,835.8,835.8,-65.1,0,5,0.48665,0.67138
1,7,0,0.0,2c,62.8,835.6,835.6,62.8,2,5,0.51288,0.67133
1,10,0,0.0,3b,-0.9,1089.9,1089.9,-0.9,1,4,0.49982,0.72348
1,13,0,0.0,4a,-123.7,1405.0,1405.0,-123.7,0,3,0.47464,0.78809
1,16,0,0.0,4c,123.2,1405.0,1405.0,123.2,2,3,0.52526,0.78809
1,19,0,0.0,5a,-249.9,1677.2,1677.2,-249.9,0,2,0.44876,0.8439
1,22,0,0.0,5b,-0.3,1703.2,1703.2,-0.3,1,2,0.49994,0.84923
1,25,0,0.0,5c,249.0,1676.7,1676.7,249.0,2,2,0.55106,0.8438
1,28,0,0.0,6a,-175.3,1892.8,1892.8,-175.3,0,1,0.46406,0.88811
1,31,0,0.0,6c,174.6,1892.8,1892.8,174.6,2,1,0.5358,0.88811
1,34,0,0.0,7a,-263.6,2118.1,2118.1,-263.6,0,0,0.44595,0.9343
1,37,0,0.0,7b,0.2,2196.8,2196.8,0.2,1,0,0.50004,0.95044
1,40,0,0.0,7c,264.0,2118.0,2118.0,264.0,2,0,0.55413,0.93428
2,1,1,22.5,1b,192.1,467.5,505.4,-1.4,4,6,0.53939,0.59585
2,4,1,22.5,2a,259.7,797.1,835.8,-65.1,3,5,0.55325,0.66344
2,7,1,22.5,2c,377.8,748.0,835.6,62.8,5,5,0.57746,0.65337
2,10,1,22.5,3b,416.3,1007.3,1089.9,-0.9,4,4,0.58535,0.70654
2,13,1,22.5,4a,423.4,1345.4,1405.0,-123.7,3,3,0.58681,0.77586
2,16,1,22.5,4c,651.5,1250.9,1405.0,123.2,5,3,0.63358,0.75649
2,19,1,22.5,5a,411.0,1645.2,1677.2,-249.9,3,2,0.58426,0.83733
2,22,1,22.5,5b,651.5,1573.7,1703.2,-0.3,4,2,0.63359,0.82267
2,25,1,22.5,5c,871.7,1453.8,1676.7,249.0,5,2,0.67874,0.79809
2,28,1,22.5,6a,562.4,1815.8,1892.8,-175.3,3,1,0.61531,0.87232
2,31,1,22.5,6c,885.7,1681.9,1892.8,174.6,5,1,0.6816,0.84486
2,34,1,22.5,7a,567.0,2057.7,2118.1,-263.6,3,0,0.61627,0.92193
2,37,1,22.5,7b,840.9,2029.5,2196.8,0.2,4,0,0.67241,0.91614
2,40,1,22.5,7c,1054.4,1855.7,2118.0,264.0,5,0,0.7162,0.88051
3,1,2,45.0,1b,356.4,358.4,505.4,-1.4,7,6,0.57307,0.57348
3,4,2,45.0,2a,545.0,637.0,835.8,-65.1,6,5,0.61174,0.63062
3,7,2,45.0,2c,635.3,546.5,835.6,62.8,8,5,0.63026,0.61205
